von;zu;typ;richtung;seit;quelle
jobdüs_4291;bmas;UNTERSTELLT;eingehend;;
jobebe_14120;bmas;UNTERSTELLT;eingehend;;
jobeic_11957;bmas;UNTERSTELLT;eingehend;;
jobelbels_4134;bmas;UNTERSTELLT;eingehend;;
jobemd_14122;bmas;UNTERSTELLT;eingehend;;
joberf_14123;bmas;UNTERSTELLT;eingehend;;
joberlhöc_11959;bmas;UNTERSTELLT;eingehend;;
jobfic_11960;bmas;UNTERSTELLT;eingehend;;
jobfle_14124;bmas;UNTERSTELLT;eingehend;;
jobfor_11962;bmas;UNTERSTELLT;eingehend;;
jobframai_14125;bmas;UNTERSTELLT;eingehend;;
jobfre_14126;bmas;UNTERSTELLT;eingehend;;
jobfre_8836;bmas;UNTERSTELLT;eingehend;;
jobfregra_11963;bmas;UNTERSTELLT;eingehend;;
jobfür_11965;bmas;UNTERSTELLT;eingehend;;
jobfürarbalzwor_14087;bmas;UNTERSTELLT;eingehend;;
jobfürarbwor_14229;bmas;UNTERSTELLT;eingehend;;
jobfürlan_11966;bmas;UNTERSTELLT;eingehend;;
jobfürsta_11967;bmas;UNTERSTELLT;eingehend;;
jobgel_4288;bmas;UNTERSTELLT;eingehend;;
jobgif_14130;bmas;UNTERSTELLT;eingehend;;
jobgos_14131;bmas;UNTERSTELLT;eingehend;;
jobgrufürarbkre_14146;bmas;UNTERSTELLT;eingehend;;
jobgüs_14132;bmas;UNTERSTELLT;eingehend;;
jobhag_4301;bmas;UNTERSTELLT;eingehend;;
jobhampyr_14134;bmas;UNTERSTELLT;eingehend;;
jobhangre_14061;bmas;UNTERSTELLT;eingehend;;
jobhei_8837;bmas;UNTERSTELLT;eingehend;;
jobhei_8838;bmas;UNTERSTELLT;eingehend;;
jobhel_14135;bmas;UNTERSTELLT;eingehend;;
jobher_4296;bmas;UNTERSTELLT;eingehend;;
jobher_4304;bmas;UNTERSTELLT;eingehend;;
jobherlau_14136;bmas;UNTERSTELLT;eingehend;;
jobhil_14138;bmas;UNTERSTELLT;eingehend;;
jobhoflan_11969;bmas;UNTERSTELLT;eingehend;;
jobhofsta_11970;bmas;UNTERSTELLT;eingehend;;
jobhoh_8839;bmas;UNTERSTELLT;eingehend;;
jobhol_14139;bmas;UNTERSTELLT;eingehend;;
jobilmkre_14140;bmas;UNTERSTELLT;eingehend;;
jobjerlan_14143;bmas;UNTERSTELLT;eingehend;;
jobjunman_8841;bmas;UNTERSTELLT;eingehend;;
jobkemall_11978;bmas;UNTERSTELLT;eingehend;;
jobkie_7200;bmas;UNTERSTELLT;eingehend;;
jobkit_11979;bmas;UNTERSTELLT;eingehend;;
jobkre_4306;bmas;UNTERSTELLT;eingehend;;
jobkrehei_4294;bmas;UNTERSTELLT;eingehend;;
jobkrehöx_4305;bmas;UNTERSTELLT;eingehend;;
jobkreolp_4317;bmas;UNTERSTELLT;eingehend;;
jobkrepad_4318;bmas;UNTERSTELLT;eingehend;;
jobkrepin_14145;bmas;UNTERSTELLT;eingehend;;
jobkreplö_14147;bmas;UNTERSTELLT;eingehend;;
jobkrereneck_7201;bmas;UNTERSTELLT;eingehend;;
jobkreseg_14199;bmas;UNTERSTELLT;eingehend;;
jobkresiewit_4324;bmas;UNTERSTELLT;eingehend;;
jobkreunn_4303;bmas;UNTERSTELLT;eingehend;;
jobkrevie_4307;bmas;UNTERSTELLT;eingehend;;
jobkrewes_4328;bmas;UNTERSTELLT;eingehend;;
jobkul_11980;bmas;UNTERSTELLT;eingehend;;
jobkyf_14148;bmas;UNTERSTELLT;eingehend;;
jobköl_4273;bmas;UNTERSTELLT;eingehend;;
joblanahr_14084;bmas;UNTERSTELLT;eingehend;;
joblanambsulsta_11964;bmas;UNTERSTELLT;eingehend;;
joblanasc_11982;bmas;UNTERSTELLT;eingehend;;
joblanbadkis_11971;bmas;UNTERSTELLT;eingehend;;
joblanbam_11983;bmas;UNTERSTELLT;eingehend;;
joblancal_8842;bmas;UNTERSTELLT;eingehend;;
joblancel_14141;bmas;UNTERSTELLT;eingehend;;
joblancha_11972;bmas;UNTERSTELLT;eingehend;;
joblandac_11951;bmas;UNTERSTELLT;eingehend;;
joblandahspr_4135;bmas;UNTERSTELLT;eingehend;;
joblandinlan_11984;bmas;UNTERSTELLT;eingehend;;
joblanemm_8843;bmas;UNTERSTELLT;eingehend;;
joblaness_8844;bmas;UNTERSTELLT;eingehend;;
joblanfre_8845;bmas;UNTERSTELLT;eingehend;;
joblangarpar_11985;bmas;UNTERSTELLT;eingehend;;
joblanger_14128;bmas;UNTERSTELLT;eingehend;;
joblangot_14151;bmas;UNTERSTELLT;eingehend;;
joblangöp_12900;bmas;UNTERSTELLT;eingehend;;
joblanhar_14158;bmas;UNTERSTELLT;eingehend;;
joblanhaß_4329;bmas;UNTERSTELLT;eingehend;;
joblanhei_8846;bmas;UNTERSTELLT;eingehend;;
joblanhil_14137;bmas;UNTERSTELLT;eingehend;;
joblankar_8847;bmas;UNTERSTELLT;eingehend;;
joblankas_14152;bmas;UNTERSTELLT;eingehend;;
joblankel_11986;bmas;UNTERSTELLT;eingehend;;
joblankon_8848;bmas;UNTERSTELLT;eingehend;;
joblankro_11987;bmas;UNTERSTELLT;eingehend;;
joblanlan_11988;bmas;UNTERSTELLT;eingehend;;
joblanlec_12002;bmas;UNTERSTELLT;eingehend;;
joblanlic_11989;bmas;UNTERSTELLT;eingehend;;
joblanlinbod_11990;bmas;UNTERSTELLT;eingehend;;
joblanlör_8849;bmas;UNTERSTELLT;eingehend;;
joblanlün_14159;bmas;UNTERSTELLT;eingehend;;
joblanmag_7379;bmas;UNTERSTELLT;eingehend;;
joblanmil_11991;bmas;UNTERSTELLT;eingehend;;
joblanneuaisbad_11994;bmas;UNTERSTELLT;eingehend;;
joblanneuobe_11993;bmas;UNTERSTELLT;eingehend;;
joblanneusch_12008;bmas;UNTERSTELLT;eingehend;;
joblanniewes_14142;bmas;UNTERSTELLT;eingehend;;
joblannor_14180;bmas;UNTERSTELLT;eingehend;;
joblanpfailm_11996;bmas;UNTERSTELLT;eingehend;;
joblanras_14185;bmas;UNTERSTELLT;eingehend;;
joblanreg_11997;bmas;UNTERSTELLT;eingehend;;
joblanreg_14160;bmas;UNTERSTELLT;eingehend;;
joblanreu_14161;bmas;UNTERSTELLT;eingehend;;
joblanrhögra_11973;bmas;UNTERSTELLT;eingehend;;
joblanros_11998;bmas;UNTERSTELLT;eingehend;;
joblanrot_14056;bmas;UNTERSTELLT;eingehend;;
joblanrotinn_11999;bmas;UNTERSTELLT;eingehend;;
joblansch_11974;bmas;UNTERSTELLT;eingehend;;
joblansch_11975;bmas;UNTERSTELLT;eingehend;;
joblanschbaakre_14197;bmas;UNTERSTELLT;eingehend;;
joblanschhal_8840;bmas;UNTERSTELLT;eingehend;;
joblansig_14200;bmas;UNTERSTELLT;eingehend;;
joblanson_14162;bmas;UNTERSTELLT;eingehend;;
joblansta_12003;bmas;UNTERSTELLT;eingehend;;
joblansta_14163;bmas;UNTERSTELLT;eingehend;;
joblansüdwei_14208;bmas;UNTERSTELLT;eingehend;;
joblantelflä_4123;bmas;UNTERSTELLT;eingehend;;
joblantüb_14164;bmas;UNTERSTELLT;eingehend;;
joblanvec_14214;bmas;UNTERSTELLT;eingehend;;
joblanweisch_12025;bmas;UNTERSTELLT;eingehend;;
joblanwit_14225;bmas;UNTERSTELLT;eingehend;;
joblei_4330;bmas;UNTERSTELLT;eingehend;;
joblimwei_14155;bmas;UNTERSTELLT;eingehend;;
jobludpar_14057;bmas;UNTERSTELLT;eingehend;;
joblüb_14166;bmas;UNTERSTELLT;eingehend;;
joblücdan_14167;bmas;UNTERSTELLT;eingehend;;
jobmai_14170;bmas;UNTERSTELLT;eingehend;;
jobmaispe_12004;bmas;UNTERSTELLT;eingehend;;
jobmaitau_14169;bmas;UNTERSTELLT;eingehend;;
jobman_14171;bmas;UNTERSTELLT;eingehend;;
jobmansüd_7438;bmas;UNTERSTELLT;eingehend;;
jobmecseenor_14173;bmas;UNTERSTELLT;eingehend;;
jobmecseesüd_14174;bmas;UNTERSTELLT;eingehend;;
jobmem_12005;bmas;UNTERSTELLT;eingehend;;
jobmerwad_6056;bmas;UNTERSTELLT;eingehend;;
jobmitfremitdöb_14172;bmas;UNTERSTELLT;eingehend;;
jobmärkre_4143;bmas;UNTERSTELLT;eingehend;;
jobmärode_4130;bmas;UNTERSTELLT;eingehend;;
jobmön_4312;bmas;UNTERSTELLT;eingehend;;
jobmühinn_12006;bmas;UNTERSTELLT;eingehend;;
jobnecodekre_14175;bmas;UNTERSTELLT;eingehend;;
jobneu_14153;bmas;UNTERSTELLT;eingehend;;
jobneu_6067;bmas;UNTERSTELLT;eingehend;;
jobneureneck_14176;bmas;UNTERSTELLT;eingehend;;
jobneuulm_14177;bmas;UNTERSTELLT;eingehend;;
jobnor_14059;bmas;UNTERSTELLT;eingehend;;
jobnor_14178;bmas;UNTERSTELLT;eingehend;;
jobnor_14179;bmas;UNTERSTELLT;eingehend;;
jobnürlan_12010;bmas;UNTERSTELLT;eingehend;;
jobnürsta_12009;bmas;UNTERSTELLT;eingehend;;
jobobe_4299;bmas;UNTERSTELLT;eingehend;;
jobobe_4316;bmas;UNTERSTELLT;eingehend;;
jobobelau_4133;bmas;UNTERSTELLT;eingehend;;
jobost_12011;bmas;UNTERSTELLT;eingehend;;
jobost_7202;bmas;UNTERSTELLT;eingehend;;
jobpaslan_12012;bmas;UNTERSTELLT;eingehend;;
jobpassta_12013;bmas;UNTERSTELLT;eingehend;;
jobpir_14184;bmas;UNTERSTELLT;eingehend;;
jobpri_4126;bmas;UNTERSTELLT;eingehend;;
jobreghan_14186;bmas;UNTERSTELLT;eingehend;;
jobregsaa_6295;bmas;UNTERSTELLT;eingehend;;
jobregsta_12019;bmas;UNTERSTELLT;eingehend;;
jobrem_4320;bmas;UNTERSTELLT;eingehend;;
jobremmur_14187;bmas;UNTERSTELLT;eingehend;;
jobrheber_4278;bmas;UNTERSTELLT;eingehend;;
jobrheerfkre_4283;bmas;UNTERSTELLT;eingehend;;
jobrhehun_14188;bmas;UNTERSTELLT;eingehend;;
jobrhekreneu_4315;bmas;UNTERSTELLT;eingehend;;
jobrhelahbadems_14189;bmas;UNTERSTELLT;eingehend;;
jobrheneckre_14060;bmas;UNTERSTELLT;eingehend;;
jobrhesie_4321;bmas;UNTERSTELLT;eingehend;;
jobrossta_12014;bmas;UNTERSTELLT;eingehend;;
jobrot_12015;bmas;UNTERSTELLT;eingehend;;
jobsaahol_14190;bmas;UNTERSTELLT;eingehend;;
jobsaaorlkre_14191;bmas;UNTERSTELLT;eingehend;;
jobsaarud_14192;bmas;UNTERSTELLT;eingehend;;
jobsal_14193;bmas;UNTERSTELLT;eingehend;;
jobsch_12016;bmas;UNTERSTELLT;eingehend;;
jobsch_14198;bmas;UNTERSTELLT;eingehend;;
jobsta_14202;bmas;UNTERSTELLT;eingehend;;
jobstaans_14088;bmas;UNTERSTELLT;eingehend;;
jobstaasc_12017;bmas;UNTERSTELLT;eingehend;;
jobstabam_12018;bmas;UNTERSTELLT;eingehend;;
jobstager_14127;bmas;UNTERSTELLT;eingehend;;
jobstahei_14203;bmas;UNTERSTELLT;eingehend;;
jobstakai_14204;bmas;UNTERSTELLT;eingehend;;
jobstakar_16474;bmas;UNTERSTELLT;eingehend;;
jobstakas_14205;bmas;UNTERSTELLT;eingehend;;
jobstakob_14144;bmas;UNTERSTELLT;eingehend;;
jobstamün_12007;bmas;UNTERSTELLT;eingehend;;
jobstaold_5129;bmas;UNTERSTELLT;eingehend;;
jobstawür_12020;bmas;UNTERSTELLT;eingehend;;
jobste_14154;bmas;UNTERSTELLT;eingehend;;
jobste_14206;bmas;UNTERSTELLT;eingehend;;
jobsto_14207;bmas;UNTERSTELLT;eingehend;;
jobstrbog_12021;bmas;UNTERSTELLT;eingehend;;
jobstäaac_4280;bmas;UNTERSTELLT;eingehend;;
jobsuh_14209;bmas;UNTERSTELLT;eingehend;;
jobsäcschost_14182;bmas;UNTERSTELLT;eingehend;;
jobsöm_14201;bmas;UNTERSTELLT;eingehend;;
jobteaarbham_13632;bmas;UNTERSTELLT;eingehend;;
jobtir_12022;bmas;UNTERSTELLT;eingehend;;
jobtra_12023;bmas;UNTERSTELLT;eingehend;;
jobtri_14210;bmas;UNTERSTELLT;eingehend;;
jobtrisaa_14211;bmas;UNTERSTELLT;eingehend;;
jobuecranvorgre_14062;bmas;UNTERSTELLT;eingehend;;
jobuel_14165;bmas;UNTERSTELLT;eingehend;;
jobulm_14212;bmas;UNTERSTELLT;eingehend;;
jobunshaikre_14213;bmas;UNTERSTELLT;eingehend;;
jobunt_12000;bmas;UNTERSTELLT;eingehend;;
jobvorlud_14216;bmas;UNTERSTELLT;eingehend;;
jobwalfra_14063;bmas;UNTERSTELLT;eingehend;;
jobwar_14217;bmas;UNTERSTELLT;eingehend;;
jobwei_14218;bmas;UNTERSTELLT;eingehend;;
jobweigun_12026;bmas;UNTERSTELLT;eingehend;;
jobweilan_14219;bmas;UNTERSTELLT;eingehend;;
jobweineu_12024;bmas;UNTERSTELLT;eingehend;;
jobwermei_14220;bmas;UNTERSTELLT;eingehend;;
jobwes_14221;bmas;UNTERSTELLT;eingehend;;
jobwes_14222;bmas;UNTERSTELLT;eingehend;;
jobwet_14223;bmas;UNTERSTELLT;eingehend;;
jobwil_14224;bmas;UNTERSTELLT;eingehend;;
jobwitlan_12027;bmas;UNTERSTELLT;eingehend;;
jobwol_14227;bmas;UNTERSTELLT;eingehend;;
jobwol_14228;bmas;UNTERSTELLT;eingehend;;
jobzol_14230;bmas;UNTERSTELLT;eingehend;;
jobzwe_14231;bmas;UNTERSTELLT;eingehend;;
jobzwi_14232;bmas;UNTERSTELLT;eingehend;;
johheithüinsbun_616;bmelh;UNTERSTELLT;eingehend;;
julkühinsbunfür_617;bmelh;UNTERSTELLT;eingehend;;
jusfürver_85;bmjv;UNTERSTELLT;eingehend;;
jülentfürnukmbh_51161;bmuv;UNTERSTELLT;eingehend;;
kasbun_619;bmg;UNTERSTELLT;eingehend;;
kasbun_620;bmg;UNTERSTELLT;eingehend;;
katdat_16848;bmjv;UNTERSTELLT;eingehend;;
katmil_625;bmvg;UNTERSTELLT;eingehend;;
kaukrakkh_6605;bmas;UNTERSTELLT;eingehend;;
kba;bmv;UNTERSTELLT;eingehend;1951;
kek_14701;bmi;UNTERSTELLT;eingehend;;
kfw_656;bmf;UNTERSTELLT;eingehend;;
kfwent_626;bmf;UNTERSTELLT;eingehend;;
kfwipeban_627;bmf;UNTERSTELLT;eingehend;;
kfwkom_628;bmf;UNTERSTELLT;eingehend;;
kfwmit_632;bmf;UNTERSTELLT;eingehend;;
kfwpri_633;bmf;UNTERSTELLT;eingehend;;
kfzzulesc_4171;bmi;UNTERSTELLT;eingehend;;
kinardzdf_16480;bkamt;UNTERSTELLT;eingehend;;
klibadrei_52032;bmas;UNTERSTELLT;eingehend;;
klomar_637;bmi;UNTERSTELLT;eingehend;;
kmkzenfürausbil_50442;bmbfsj;UNTERSTELLT;eingehend;;
kna_51988;bmg;UNTERSTELLT;eingehend;;
komcybinf_50937;bmvg;UNTERSTELLT;eingehend;;
komermfinöffrec_51745;bmf;UNTERSTELLT;eingehend;;
komfüranl_49264;bmuv;UNTERSTELLT;eingehend;;
komfürkasrecbun_645;bmf;UNTERSTELLT;eingehend;;
komfürkinjug_16561;bmbfsj;UNTERSTELLT;eingehend;;
komfürzulauf_4142;bmi;UNTERSTELLT;eingehend;;
komgemfürver_644;bmi;UNTERSTELLT;eingehend;;
komlufpreinf_752;bmvg;UNTERSTELLT;eingehend;;
komopefühein_641;bmvg;UNTERSTELLT;eingehend;;
komrecbun_16531;bmi;UNTERSTELLT;eingehend;;
komsch_51711;bmg;UNTERSTELLT;eingehend;;
komstr_862;bmvg;UNTERSTELLT;eingehend;;
kon_50918;bmv;UNTERSTELLT;eingehend;;
koobunfürgütlog_647;bmv;UNTERSTELLT;eingehend;;
koobunfürlufrau_648;bmwi;UNTERSTELLT;eingehend;;
koobunfürmarwir_652;bmwi;UNTERSTELLT;eingehend;;
koofürdeupolzwi_653;aa;UNTERSTELLT;eingehend;;
koofürtrazwikul_49003;bmas;UNTERSTELLT;eingehend;;
koofürtrazwikul_649;aa;UNTERSTELLT;eingehend;;
koofürzwipolzus_650;aa;UNTERSTELLT;eingehend;;
koopat_51649;bmg;UNTERSTELLT;eingehend;;
kra_654;bmv;UNTERSTELLT;eingehend;;
krabun_655;bmv;UNTERSTELLT;eingehend;;
kurfürtecbaulan_630;bmwi;UNTERSTELLT;eingehend;;
kurfürwalfor_631;bmas;UNTERSTELLT;eingehend;;
kurjundeufil_7700;bmi;UNTERSTELLT;eingehend;;
kün_711;bmas;UNTERSTELLT;eingehend;;
lanbadwür_17051;bmvg;UNTERSTELLT;eingehend;;
laumitbervermbh_15619;bmwi;UNTERSTELLT;eingehend;;
leigem_715;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfüraltfri_718;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfüranggeo_719;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürartuni_720;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfüratmuni_721;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürfeswer_723;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürgewbin_724;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürkat_725;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürkri_726;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürlän_727;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürmee_728;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürmolpha_729;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürnatfor_730;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürneu_732;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürneumat_731;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürobe_733;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürostwar_735;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürpfl_736;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürpflkul_737;bkamt;UNTERSTELLT;eingehend;;
leiinsfürplatec_738;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürpädnat_722;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürregstr_739;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürtro_740;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürzoowil_741;bmbfsj;UNTERSTELLT;eingehend;;
leiinsfürökorau_734;bmbfsj;UNTERSTELLT;eingehend;;
leizenfürzeifor_16504;bmbfsj;UNTERSTELLT;eingehend;;
logbun_744;bmvg;UNTERSTELLT;eingehend;;
logbun_745;bmvg;UNTERSTELLT;eingehend;;
loghei_746;bmi;UNTERSTELLT;eingehend;;
luf_749;bmv;UNTERSTELLT;eingehend;;
luf_754;bmvg;UNTERSTELLT;eingehend;;
lufbun_13;bmvg;UNTERSTELLT;eingehend;;
lufluf_750;bmvg;UNTERSTELLT;eingehend;;
lufwah_755;bmvg;UNTERSTELLT;eingehend;;
länfürarbsic_51702;bmas;UNTERSTELLT;eingehend;;
mad;bmvg;UNTERSTELLT;eingehend;1956;
mar_439;bmvg;UNTERSTELLT;eingehend;;
mar_758;bmvg;UNTERSTELLT;eingehend;;
mar_760;bmvg;UNTERSTELLT;eingehend;;
marhankas_756;bmvg;UNTERSTELLT;eingehend;;
marmür_759;bmvg;UNTERSTELLT;eingehend;;
marwil_757;bmvg;UNTERSTELLT;eingehend;;
matforobe_761;bmbfsj;UNTERSTELLT;eingehend;;
maxborinsfürnic_762;bmi;UNTERSTELLT;eingehend;;
maxdelcenfürmol_763;bmbfsj;UNTERSTELLT;eingehend;;
maxplagesförwis_764;bmbfsj;UNTERSTELLT;eingehend;;
maxplainsfürkoh_766;bkamt;UNTERSTELLT;eingehend;;
maxplainsfürpla_767;bmbfsj;UNTERSTELLT;eingehend;;
maxrubinsbunfür_768;bmelh;UNTERSTELLT;eingehend;;
medalmgbr_4141;bmi;UNTERSTELLT;eingehend;;
meddiebunbun_14689;bmg;UNTERSTELLT;eingehend;;
merbenbkk_52008;bmg;UNTERSTELLT;eingehend;;
mhpbet_15896;bmg;UNTERSTELLT;eingehend;;
milfor_769;bmvg;UNTERSTELLT;eingehend;;
mobmbh_49159;bmv;UNTERSTELLT;eingehend;;
mon_770;bmi;UNTERSTELLT;eingehend;;
musfürnatleiins_771;bkamt;UNTERSTELLT;eingehend;;
natbeg_14678;bmi;UNTERSTELLT;eingehend;;
natfor_49881;bmbfsj;UNTERSTELLT;eingehend;;
natleilad_50875;bmwi;UNTERSTELLT;eingehend;;
natnor_774;bmi;UNTERSTELLT;eingehend;;
natsteverfol_14695;bmi;UNTERSTELLT;eingehend;;
neuhan_775;bmv;UNTERSTELLT;eingehend;;
novbkk_7772;bmg;UNTERSTELLT;eingehend;;
oder_14291;bmas;UNTERSTELLT;eingehend;;
oder_4129;bmas;UNTERSTELLT;eingehend;;
oder_548;bmf;UNTERSTELLT;eingehend;;
offhee_777;bmvg;UNTERSTELLT;eingehend;;
offluf_776;bmvg;UNTERSTELLT;eingehend;;
ostlan_778;bkamt;UNTERSTELLT;eingehend;;
pat_786;bmjv;UNTERSTELLT;eingehend;;
paudruinsfürfes_787;bmi;UNTERSTELLT;eingehend;;
pauehrins_788;bmg;UNTERSTELLT;eingehend;;
pei;bmg;UNTERSTELLT;eingehend;1972;
perbeabunfürg20_791;bmwi;UNTERSTELLT;eingehend;;
phytec_792;bmwi;UNTERSTELLT;eingehend;;
piofacheefürbau_793;bmvg;UNTERSTELLT;eingehend;;
polbunbeideubun_51646;bmi;UNTERSTELLT;eingehend;;
polkrilänbun_50282;bmi;UNTERSTELLT;eingehend;;
pos_794;bmf;UNTERSTELLT;eingehend;;
potinsfürkli_795;bmbfsj;UNTERSTELLT;eingehend;;
preinfbun_796;bkamt;UNTERSTELLT;eingehend;;
preinfsan_797;bmvg;UNTERSTELLT;eingehend;;
pro_6580;bmas;UNTERSTELLT;eingehend;;
projül_799;bmbfsj;UNTERSTELLT;eingehend;;
prübunber_800;bmf;UNTERSTELLT;eingehend;;
prübunframai_801;bmf;UNTERSTELLT;eingehend;;
prübunham_802;bmf;UNTERSTELLT;eingehend;;
prübunhan_803;bmf;UNTERSTELLT;eingehend;;
prübunkob_804;bmf;UNTERSTELLT;eingehend;;
prübunköl_805;bmf;UNTERSTELLT;eingehend;;
prübunmag_806;bmf;UNTERSTELLT;eingehend;;
prübunmün_807;bmf;UNTERSTELLT;eingehend;;
prübunstu_808;bmf;UNTERSTELLT;eingehend;;
psyost_13468;bmwi;UNTERSTELLT;eingehend;;
ptb;bmwi;UNTERSTELLT;eingehend;1887;
recbeibun_809;bmjv;UNTERSTELLT;eingehend;;
regbadwürbunfür_9027;bmas;UNTERSTELLT;eingehend;;
reifriebeged_811;bkamt;UNTERSTELLT;eingehend;;
rhewesinsfürwir_812;bmbfsj;UNTERSTELLT;eingehend;;
rki;bmg;UNTERSTELLT;eingehend;1994;
rkwratinndeuwir_15851;bmbfsj;UNTERSTELLT;eingehend;;
robkocins_814;bmg;UNTERSTELLT;eingehend;;
runwdrdrazdf_19154;bkamt;UNTERSTELLT;eingehend;;
saale_14133;bmas;UNTERSTELLT;eingehend;;
sacbegentges_16136;bmg;UNTERSTELLT;eingehend;;
sacbeggesent_51238;bmwi;UNTERSTELLT;eingehend;;
sacfürumw_816;bmuv;UNTERSTELLT;eingehend;;
salbkk_7775;bmg;UNTERSTELLT;eingehend;;
sanbun_52236;bmvg;UNTERSTELLT;eingehend;;
sbk_7663;bmas;UNTERSTELLT;eingehend;;
schfürdiebunulm_52052;bmvg;UNTERSTELLT;eingehend;;
schinsmar_825;bmvg;UNTERSTELLT;eingehend;;
schnac125abssgb_50036;bmi;UNTERSTELLT;eingehend;;
schnac127abssat_50041;bmi;UNTERSTELLT;eingehend;;
schnac129abssgb_50037;bmi;UNTERSTELLT;eingehend;;
schnac130abssgb_50038;bmi;UNTERSTELLT;eingehend;;
schnac132abssgb_50039;bmi;UNTERSTELLT;eingehend;;
schnac132abssgb_50042;bmi;UNTERSTELLT;eingehend;;
schnac134abssgb_50031;bmi;UNTERSTELLT;eingehend;;
schnac134abssgb_50040;bmi;UNTERSTELLT;eingehend;;
schnac18aabskhg_50035;bmi;UNTERSTELLT;eingehend;;
secbkk_7776;bmg;UNTERSTELLT;eingehend;;
sefmartraltd_51928;bmi;UNTERSTELLT;eingehend;;
sekbunnac89aabs_50043;bmi;UNTERSTELLT;eingehend;;
senfornatsng_828;bkamt;UNTERSTELLT;eingehend;;
sennatsamdre_829;bkamt;UNTERSTELLT;eingehend;;
skdbkk_52015;bmg;UNTERSTELLT;eingehend;;
sonbunfürafgpak_48942;bmz;UNTERSTELLT;eingehend;;
sonfürausfor_830;bmv;UNTERSTELLT;eingehend;;
sozfürlanforgar_4049;bmas;UNTERSTELLT;eingehend;;
sozinnverbun_15654;bmas;UNTERSTELLT;eingehend;;
sta_842;bmi;UNTERSTELLT;eingehend;;
staaufbeidekdeu_837;bmf;UNTERSTELLT;eingehend;;
staber_839;bmvg;UNTERSTELLT;eingehend;;
str_861;bmvg;UNTERSTELLT;eingehend;;
südbkk_52006;bmg;UNTERSTELLT;eingehend;;
tardeulän_51910;bmi;UNTERSTELLT;eingehend;;
tecfacnor_864;bmv;UNTERSTELLT;eingehend;;
techil_296;bmi;UNTERSTELLT;eingehend;;
techillanbadwür_15173;bmi;UNTERSTELLT;eingehend;;
techillanbay_15172;bmi;UNTERSTELLT;eingehend;;
techillanbrenie_15168;bmi;UNTERSTELLT;eingehend;;
techillanhammec_15170;bmi;UNTERSTELLT;eingehend;;
techillanhesrhe_15171;bmi;UNTERSTELLT;eingehend;;
techillannorwes_15169;bmi;UNTERSTELLT;eingehend;;
techillansacthü_15166;bmi;UNTERSTELLT;eingehend;;
tecinf_865;bkamt;UNTERSTELLT;eingehend;;
teckra_863;bmg;UNTERSTELLT;eingehend;;
tecschlanfachee_868;bmvg;UNTERSTELLT;eingehend;;
tecschluf_866;bmvg;UNTERSTELLT;eingehend;;
tecschluf_867;bmvg;UNTERSTELLT;eingehend;;
thw;bmi;UNTERSTELLT;eingehend;1950;
thw;bbk;KOORDINIERT_MIT;ausgehend;2004;
thwbun_869;bmi;UNTERSTELLT;eingehend;;
thwjug_870;bmi;UNTERSTELLT;eingehend;;
trunortdgnor_15920;bmjv;UNTERSTELLT;eingehend;;
trusüdtdgsüd_15921;bmjv;UNTERSTELLT;eingehend;;
tuibkk_7777;bmg;UNTERSTELLT;eingehend;;
tüvrhe_873;bmi;UNTERSTELLT;eingehend;;
uba;bmuv;UNTERSTELLT;eingehend;1986;
umw_875;bmuv;UNTERSTELLT;eingehend;;
unaexpfra_16467;bmbfsj;UNTERSTELLT;eingehend;;
unaexpfürkli_50150;bmuv;UNTERSTELLT;eingehend;;
unakon_50054;bmi;UNTERSTELLT;eingehend;;
unfbunbah_412;bmas;UNTERSTELLT;eingehend;;
unfbunbah_877;bmas;UNTERSTELLT;eingehend;;
uni_51718;bmi;UNTERSTELLT;eingehend;;
untheeleh_882;bmvg;UNTERSTELLT;eingehend;;
untluf_881;bmvg;UNTERSTELLT;eingehend;;
usk_9475;bmi;UNTERSTELLT;eingehend;;
ver_48991;bt;UNTERSTELLT;eingehend;;
ver_86;bmvg;UNTERSTELLT;eingehend;;
verber_896;bmas;UNTERSTELLT;eingehend;;
verbun_891;bmvg;UNTERSTELLT;eingehend;;
verbunbeibun_895;bmi;UNTERSTELLT;eingehend;;
